Wall time,Step,Value
1628778838.7428372,308689,-10378.1474609375
1628778875.8804564,314862,-10532.3388671875
1628778905.3569942,319895,-10481.1904296875
1628778945.37417,326572,-10282.7392578125
1628778987.6689222,333674,-9969.3154296875
1628779028.260653,339878,-9898.4990234375
1628779073.6225557,347396,-9177.4228515625
1628779121.1513863,355447,-9261.4462890625
1628779152.0276234,361098,-9400.248046875
1628779191.5022244,367558,-9160.75390625
1628779233.076856,374450,-9635.419921875
1628779266.8916612,380193,-9765.537109375
1628779308.2388859,386707,-9472.982421875
1628779363.571056,396032,-9274.6669921875
1628779408.736229,403531,-8895.521484375
1628779443.6115797,409250,-9190.3544921875
1628779496.9455545,417798,-9524.3671875
1628779540.9731548,425157,-9899.189453125
1628779595.455245,434370,-9831.14453125
1628779645.0599244,441681,-9784.8193359375
1628779687.2252023,449075,-9252.0078125
1628779724.5855033,455295,-9365.125
1628779776.2421238,463927,-9460.1015625
1628779815.8055289,470448,-9287.5048828125
1628779876.4114573,480657,-8985.7578125
1628779933.5067518,490326,-8145.7197265625
1628780002.3799393,501515,-7703.7265625
1628780051.730577,509760,-7300.4267578125
1628780185.73105,519289,-7535.14404296875
1628780240.5315392,529077,-7573.1591796875
1628780305.600659,540002,-7663.84716796875
1628780364.1343138,549793,-7517.5419921875
1628780432.6741436,560967,-7139.712890625
1628780484.242059,569471,-7358.17626953125
1628780527.60562,576987,-7675.33251953125
1628780587.7358952,587014,-7513.48681640625
1628780647.0911143,597469,-7628.3720703125
1628780703.7266443,607511,-7585.27197265625
1628780758.277122,617188,-7243.79931640625
1628780818.238071,627782,-7167.32763671875
1628780888.452493,639692,-6946.20849609375
1628780940.1173012,649297,-6884.7177734375
1628781007.825868,661310,-6334.984375
1628781068.8897624,671714,-6691.2021484375
1628781126.0905366,682277,-6915.0703125
1628781190.0005167,693618,-6693.86474609375
1628781252.4204595,704687,-7167.904296875
1628781301.299929,713341,-7246.97802734375
1628781363.0470376,724336,-7327.5185546875
1628781423.0968623,734898,-7445.46240234375
1628781485.3673227,745945,-7129.78662109375
1628781547.1985633,756931,-6583.345703125
1628781607.7090316,767653,-6586.96875
1628781667.8129618,778285,-6571.7216796875
1628781733.0261235,789937,-6759.8134765625
1628781803.0980725,802389,-6579.8623046875
1628781864.4520118,812970,-6841.166015625
1628781927.6379473,824551,-6504.2734375
1628781992.77698,836058,-6142.580078125
1628782057.4860349,847627,-6044.11376953125
1628782112.8818154,857051,-5485.43798828125
1628782173.5939896,867295,-5666.66259765625
1628782243.6884809,878853,-5677.8291015625
1628782304.6353557,888846,-5941.251953125
1628782364.9026284,899516,-5889.47509765625
1628782426.8834045,910556,-5854.83056640625
1628782494.8118827,922578,-5926.66259765625
1628782562.983447,934602,-5658.181640625
1628782631.0498872,946583,-5410.56103515625
1628782693.9161742,957754,-5418.39892578125
1628782753.6389518,968301,-5972.98828125
1628782818.6352968,979802,-6264.37353515625
1628782881.1765952,990917,-6408.23046875
1628782946.8314757,1002599,-6434.5185546875
1628783004.6085143,1012838,-6612.68359375
1628783072.9293168,1024989,-6910.76953125
1628783133.6611836,1035746,-7595.06103515625
1628783203.8684993,1048246,-7067.9013671875
1628783267.8837566,1059645,-6500.59619140625
1628783335.0168834,1071675,-5695.912109375
1628783396.69144,1082648,-5089.92529296875
1628783461.6039047,1094138,-5493.0341796875
1628783528.4857478,1106089,-5482.93310546875
1628783598.7167554,1118589,-5502.41015625
1628783666.5934665,1130597,-5411.15234375
1628783734.5554345,1142689,-5035.01220703125
1628783797.640435,1153841,-5034.435546875
1628783859.363947,1164750,-5506.07568359375
1628783925.521842,1176502,-5759.93603515625
1628783988.9093754,1187790,-6367.96533203125
1628784054.2893143,1199104,-6998.34375
1628784107.598627,1208847,-7694.68212890625
1628784168.9911268,1219401,-7936.0771484375
1628784225.8120341,1229458,-8061.64013671875
1628784286.6240764,1240653,-7776.29443359375
1628784345.1883314,1251042,-7610.01123046875
1628784407.945516,1262123,-7130.62109375
1628784472.4953477,1273368,-7074.88134765625
1628784536.1865265,1284892,-6343.7998046875
1628784599.4730954,1296103,-5736.0625
1628784656.7421992,1305814,-6186.23291015625
1628784713.0175626,1316189,-5946.1328125
1628784772.4312246,1326519,-6825.99853515625
1628784838.5790312,1338442,-6725.3408203125
1628784895.312359,1348581,-6622.04638671875
1628784951.3462813,1358578,-6862.36279296875
1628785009.2039564,1368822,-6717.68212890625
1628785067.3529067,1379137,-6770.80859375
1628785121.7283385,1388749,-7014.7783203125
1628785186.791364,1400319,-6490.8955078125
1628785253.7782674,1412350,-5897.8125
1628785310.2961636,1422440,-5982.98486328125
1628785371.9212992,1433538,-5359.42138671875
1628785438.8397915,1445510,-5389.2216796875
1628785509.1455035,1457545,-5427.89892578125
1628785566.5487626,1467875,-5329.2490234375
1628785634.4639192,1480375,-4888.330078125
1628785701.8544738,1492410,-4719.767578125
