Wall time,Step,Value
1628684316.107643,2215,-15007.3203125
1628684327.8776627,4665,-14915.76171875
1628684340.3762808,6946,-14974.6015625
1628684354.6271408,9755,-15471.9912109375
1628684367.3214672,12381,-15568.3837890625
1628684380.4381793,15272,-15840.171875
1628684393.5476718,18077,-15932.8837890625
1628684408.3799868,21299,-16006.5
1628684424.0788186,24464,-16413.150390625
1628684438.5334318,27633,-16371.900390625
1628684453.6266947,31174,-16834.587890625
1628684470.6076288,34427,-16557.255859375
1628684487.404525,38090,-16456.8359375
1628684507.8593237,42530,-17107.79296875
1628684526.875341,46577,-16592.384765625
1628684561.9403543,53982,-16111.060546875
1628684596.1202953,61417,-14763.77734375
1628684636.7336645,70385,-12584.0078125
1628684673.2264895,78120,-11590.8935546875
1628684717.5249903,87348,-11135.904296875
1628684755.574169,95369,-11322.060546875
1628684869.9802673,104901,-11249.5078125
1628684903.0206354,111979,-11181.7060546875
1628684946.6472301,121088,-10617.263671875
1628684989.3035545,130201,-10495.515625
1628685027.5545354,138964,-11117.9248046875
1628685063.737189,146535,-10881.2294921875
1628685099.6709158,154801,-10604.072265625
1628685142.0376027,163553,-9896.14453125
1628685177.737306,171348,-9390.4140625
1628685213.332557,179176,-9532.5146484375
1628685252.3389904,186951,-9567.3759765625
1628685286.3096473,194205,-10011.66015625
1628685365.4818916,202134,-10012.2265625
1628685405.9774222,210077,-9853.8818359375
1628685440.1555328,217359,-10293.70703125
1628685473.6841514,224372,-10176.8486328125
1628685502.9107344,230597,-10758.779296875
1628685536.43611,238219,-10627.466796875
1628685575.6965706,246589,-10347.568359375
1628685608.682399,253677,-10343.779296875
1628685647.4869826,262134,-9577.970703125
1628685684.563517,270056,-9650.9306640625
1628685725.7868881,279016,-9475.8037109375
1628685768.7239535,287975,-9176.5537109375
1628685808.1981812,296439,-9388.765625
1628685844.8607392,304791,-9259.3046875
1628685879.7864888,312395,-9652.6748046875
1628685921.830072,321267,-9869.11328125
1628685964.0568104,330234,-9784.8984375
1628686003.9269798,338331,-10044.9287109375
1628686042.4494777,346347,-9814.0087890625
1628686090.8694313,354795,-9796.099609375
1628686141.3239813,365062,-9588.361328125
1628686196.887438,376435,-9223.81640625
1628686239.1532965,384643,-9219.5029296875
1628686289.3711145,394280,-9109.5927734375
1628686321.393873,401377,-9612.5224609375
1628686362.1760762,410338,-9922.892578125
1628686400.9706273,418656,-9999.4794921875
1628686443.9716606,427916,-9849.07421875
1628686482.696999,436297,-9482.380859375
1628686525.3769267,445162,-8914.046875
1628686565.508218,453597,-8516.5009765625
1628686608.802391,462388,-8799.0712890625
1628686659.387006,472574,-8792.2568359375
1628686701.6351113,482302,-9152.439453125
1628686755.795347,493876,-9503.375
1628686804.9491785,504967,-9411.505859375
1628686851.2787018,515146,-9066.4716796875
1628686899.916512,525829,-9038.484375
1628686944.0567865,535534,-8744.0478515625
1628686992.6925387,546151,-8408.44921875
1628687039.6346595,555415,-8585.353515625
1628687088.5311296,566052,-8351.703125
1628687131.0231748,575276,-8202.8798828125
1628687178.7610767,585493,-8344.53125
1628687229.925701,596670,-7912.8701171875
1628687274.4202962,606869,-7705.857421875
1628687326.930533,618452,-7487.64794921875
1628687375.2942865,628567,-7354.2109375
1628687420.795694,638735,-7235.34375
1628687469.0278249,649314,-7341.3193359375
1628687513.4060133,659028,-7630.89697265625
1628687557.1557977,668312,-7662.64013671875
1628687605.4863234,678944,-7755.4892578125
1628687658.2709072,690550,-7205.361328125
1628687948.802574,701193,-6557.76513671875
1628687991.6883018,710549,-6694.25830078125
1628688045.2718434,721964,-6486.66357421875
1628688095.9053986,732512,-7302.60498046875
1628688142.6884086,742477,-7728.60107421875
1628688193.6763744,753655,-7349.03564453125
1628688246.4209383,763818,-7596.806640625
1628688290.5299644,773208,-7134.75
1628688343.4635067,783895,-6843.34912109375
1628688392.9207723,793225,-6674.07080078125
1628688447.109563,804295,-6169.91357421875
1628688494.9941783,813586,-6209.9453125
1628688548.950897,824666,-5971.2607421875
1628688606.3339093,836241,-6013.73974609375
1628688657.9536347,846842,-6129.17724609375
1628688715.0421274,858433,-5775.23193359375
1628688766.9753296,869010,-5973.31591796875
1628688822.5003614,880088,-5814.27197265625
1628688882.4278407,892115,-5515.3603515625
1628688944.2611182,904139,-5872.11083984375
1628688997.9009223,915262,-5915.54638671875
1628689052.6643398,925886,-5883.32763671875
1628689106.4779923,936460,-6947.79296875
1628689156.575586,946336,-6951.0869140625
1628689211.4500723,957427,-6573.04638671875
1628689265.294868,968189,-6785.0849609375
1628689329.0200112,980686,-6192.30810546875
1628689391.0753837,992723,-6373.67919921875
1628689453.2894115,1005217,-6625.66259765625
1628689513.1244316,1017245,-6428.0458984375
1628689579.3976426,1029745,-5962.16845703125
1628689639.8525012,1042118,-5450.73779296875
1628689695.3610206,1053043,-5751.6513671875
1628689758.6808646,1065116,-6133.3447265625
1628689814.3536463,1076586,-6635.9814453125
1628689877.6885557,1089086,-6403.6484375
1628689940.4138649,1101399,-6066.591796875
1628689995.0864391,1112945,-5562.3681640625
1628690051.6016068,1124036,-5187.4111328125
1628690114.839079,1136536,-5114.59423828125
1628690170.6081665,1148089,-5153.61181640625
1628690222.6322875,1158586,-5523.09228515625
1628690270.5331182,1168526,-5905.43603515625
1628690331.4433753,1180480,-6475.2236328125
1628690387.4680626,1192084,-6309.4482421875
1628690520.3975363,1204271,-5946.18115234375
1628690576.5399024,1215953,-5694.90771484375
1628690624.7271044,1225903,-6121.29833984375
1628690679.3053668,1237178,-6089.5595703125
1628690734.7787383,1247910,-6103.7919921875
1628690787.346589,1258357,-6845.224609375
1628690852.089215,1269174,-6504.60791015625
1628690913.6741068,1280974,-6873.96240234375
1628690972.7569313,1292286,-6957.685546875
1628691032.584637,1304275,-6145.08837890625
1628691089.7531896,1316118,-5711.45458984375
1628691144.8905702,1327631,-5229.7138671875
1628691199.0087204,1338777,-5511.0
1628691264.8291628,1350183,-5631.625
1628691322.0757658,1360218,-6355.265625
1628691385.2461631,1371888,-6835.5830078125
1628691452.785312,1384113,-6284.9326171875
1628691520.557327,1395740,-6294.15966796875
1628691659.554538,1405252,-6528.9697265625
1628691719.1415644,1416917,-7065.26611328125
1628691773.8592274,1427967,-7941.57763671875
1628691831.7156014,1439231,-8150.669921875
1628691888.3341014,1449711,-8005.7607421875
1628691946.2824786,1461302,-7259.08349609375
1628691998.9969957,1472324,-6707.59521484375
1628692061.4423325,1484331,-6441.01806640625
1628692123.4493709,1496169,-5251.845703125
1628692175.3381426,1506223,-5540.955078125
1628692227.3539126,1516898,-5492.73193359375
1628692285.2066839,1528903,-5248.779296875
1628692340.1981144,1539741,-5606.5869140625
1628692390.9029377,1550284,-6044.7822265625
1628692449.1457186,1561796,-6706.26123046875
1628692496.3154886,1571021,-7621.3056640625
1628692548.6261592,1581725,-7647.11572265625
1628692609.0529683,1593478,-7051.7744140625
1628692736.0942678,1605176,-6517.576171875
1628692799.7794337,1617193,-6385.2236328125
1628692864.263161,1629693,-6006.6328125
1628692925.3078613,1641696,-6032.6015625
1628692980.9794505,1652742,-6688.185546875
1628693033.014162,1663368,-6676.48291015625
1628693091.0331461,1675020,-6868.31201171875
1628693143.7115924,1686286,-7275.79248046875
1628693199.1506674,1698323,-6887.7080078125
1628693252.1104977,1709474,-7228.869140625
1628693307.9336987,1721363,-7785.505859375
1628693361.7236266,1732432,-7182.5576171875
1628693413.467659,1743091,-7167.4130859375
1628693470.4466014,1754672,-6455.712890625
1628693530.655533,1766704,-6087.78955078125
1628693599.9866352,1779204,-5797.5849609375
1628693654.763967,1790737,-5265.1953125
1628693703.7224126,1801596,-5601.18603515625
1628711724.219815,1812786,-5615.052734375
1628711784.0758052,1824302,-6033.3583984375
1628711840.400146,1835118,-6453.57763671875
1628711899.6319098,1847198,-5761.6240234375
1628711959.251875,1858872,-5960.35546875
1628712366.5179694,1870988,-5818.33935546875
1628712427.7027957,1882892,-5662.48681640625
1628746298.146537,1894906,-6133.01025390625
1628746537.9651065,1906641,-6275.349609375
1628746591.16983,1918242,-6390.2783203125
1628746646.2723553,1930263,-6054.96728515625
1628746708.0190976,1942522,-5815.7373046875
1628746762.3136668,1954080,-5505.74560546875
1628746818.1269853,1965603,-5173.99169921875
1628746871.3927188,1977142,-4976.75146484375
1628746928.0149968,1989383,-4943.63525390625
1628746983.106907,2001209,-4755.900390625
1628747031.62309,2011489,-5396.2666015625
1628747086.5793536,2023107,-6174.38525390625
1628747145.75154,2035607,-5913.109375
1628747205.0012057,2048107,-5914.37548828125
1628747259.6976705,2059707,-5478.78369140625
1628747318.2282014,2071615,-5093.8935546875
1628747372.7982216,2082745,-5750.302734375
1628747429.9577947,2094245,-6163.66259765625
1628747515.473689,2106214,-6381.12255859375
1628747573.8099678,2118500,-6360.68505859375
1628747630.3775322,2129938,-6009.9716796875
1628747684.7495677,2141714,-5953.37744140625
1628747742.1100438,2153132,-6066.17529296875
1628747794.6970348,2163669,-6333.72216796875
1628747842.9098043,2174301,-6744.06591796875
1628747890.2060769,2184666,-7107.78662109375
