Wall time,Step,Value
1628777005.3376622,2766,389085.59375
1628777020.2644997,5400,131013.8828125
1628777033.7596838,7841,178016.21875
1628777118.3300276,10828,127989.1875
1628777134.9550383,13642,73008.9921875
1628777153.794883,16806,62366.640625
1628777172.0309753,19840,82695.5546875
1628777193.7581568,23362,60331.80078125
1628777215.8676841,26946,64510.0703125
1628777235.7766962,30492,46551.01953125
1628777260.5198703,34561,54926.37890625
1628777284.606435,38333,50189.8671875
1628777308.9184833,42262,54606.48828125
1628777338.9507737,47322,63505.96484375
1628777363.8549638,51816,75175.390625
1628777388.5904272,56225,95344.8984375
1628777422.9556737,61858,82647.640625
1628777471.186511,70366,80751.71875
1628777523.113657,79382,83622.0234375
1628777576.8427067,88911,113114.9765625
1628777620.865053,96605,185837.765625
1628777665.7188761,104608,117640.578125
1628777706.4044816,111864,76549.9375
1628777743.5597055,119044,125480.0234375
1628777782.0360093,126079,141247.421875
1628777827.8229911,134125,182494.078125
1628777866.5193706,141554,149655.796875
1628777903.1109939,147843,167402.0625
1628777934.802935,154070,151539.484375
1628777970.9664226,160670,194635.5625
1628778009.808368,167511,238555.796875
1628778046.8018036,174165,179469.65625
1628778084.0180976,181389,163671.65625
1628778111.5752234,186331,177654.640625
1628778140.098425,191364,223001.21875
1628778163.2415903,195602,149766.53125
1628778195.5204656,201706,60733.1171875
1628778210.5359445,204742,206992.546875
1628778241.1426926,210306,135956.96875
1628778266.1963181,214031,131897.703125
1628778306.720512,220266,136944.84375
1628778349.7718484,227955,198243.828125
1628778391.7918239,234599,246345.640625
1628778424.665501,239529,192806.203125
1628778458.2598403,245077,241186.0625
1628778489.0822065,250617,81223.203125
1628778509.2844472,253567,236790.84375
1628778546.8304052,259825,92009.3671875
1628778564.2860513,262794,255443.9375
1628778590.8432999,267764,213431.890625
1628778615.8563838,271697,139597.765625
1628778630.946721,274137,136991.203125
1628778660.9627545,279146,257176.765625
1628778686.4227624,283102,238344.09375
1628778733.4380865,291203,137549.421875
1628778770.6942508,297112,141069.953125
1628778813.547786,304217,155804.59375
1628778838.7429118,308689,145919.765625
1628778875.8806121,314862,167214.265625
1628778905.3571498,319895,203584.9375
1628778945.3742425,326572,275974.5
1628778987.668998,333674,152051.703125
1628779028.260759,339878,147768.390625
1628779073.6226268,347396,128356.65625
1628779121.151465,355447,109600.453125
1628779152.0276973,361098,175558.984375
1628779191.502318,367558,117817.0078125
1628779233.0769303,374450,31223.0
1628779266.8917568,380193,127891.453125
1628779308.2389822,386707,125056.8359375
1628779363.5711422,396032,117268.8359375
1628779408.7363307,403531,106053.21875
1628779443.6117291,409250,66220.9453125
1628779496.945686,417798,81913.640625
1628779540.973245,425157,110304.2734375
1628779595.455319,434370,141155.9375
1628779645.0600853,441681,123744.640625
1628779687.225276,449075,161738.265625
1628779724.5855753,455295,19778.53125
1628779776.2422109,463927,125789.15625
1628779815.8056037,470448,40233.2890625
1628779876.4115334,480657,149098.890625
1628779933.5068245,490326,90050.3046875
1628780002.380014,501515,71929.7734375
1628780051.7306962,509760,94888.4609375
1628780185.7311246,519289,84137.1796875
1628780240.5316648,529077,64173.19921875
1628780305.6007366,540002,72058.6484375
1628780364.1343899,549793,19910.44140625
1628780432.6742187,560967,73507.4609375
1628780484.2421365,569471,82661.890625
1628780527.6057,576987,58620.92578125
1628780587.735968,587014,66575.765625
1628780647.0911882,597469,34959.80078125
1628780703.7267702,607511,88322.7265625
1628780758.2772057,617188,55179.40625
1628780818.2382004,627782,59525.48828125
1628780888.452621,639692,44650.61328125
1628780940.1173744,649297,40944.2578125
1628781007.8259485,661310,60788.22265625
1628781068.8898356,671714,51101.7890625
1628781126.0906112,682277,45767.01953125
1628781190.0006077,693618,58601.47265625
1628781252.4205322,704687,46691.71875
1628781301.3000026,713341,43048.91796875
1628781363.0471683,724336,43988.1328125
1628781423.0969374,734898,40469.05078125
1628781485.3674672,745945,49644.05859375
1628781547.1986368,756931,50089.38671875
1628781607.7091238,767653,41463.25390625
1628781667.8130357,778285,49458.88671875
1628781733.0261962,789937,41622.015625
1628781803.098147,802389,62848.1328125
1628781864.45212,812970,57319.5703125
1628781927.638022,824551,58206.51953125
1628781992.7770557,836058,44632.90234375
1628782057.486121,847627,50376.15234375
1628782112.88189,857051,40485.4921875
1628782173.5940704,867295,48530.44921875
1628782243.6885612,878853,47212.15625
1628782304.6354306,888846,43808.40625
1628782364.9027026,899516,48140.3359375
1628782426.883494,910556,50197.26171875
1628782494.81201,922578,50456.75390625
1628782562.9835246,934602,54402.29296875
1628782631.0499732,946583,44540.48828125
1628782693.9162488,957754,38484.94921875
1628782753.6390407,968301,41316.2578125
1628782818.6353693,979802,46511.5859375
1628782881.1766722,990917,38232.359375
1628782946.8315885,1002599,39888.08984375
1628783004.6086304,1012838,43914.0390625
1628783072.9294538,1024989,34473.36328125
1628783133.6613195,1035746,37178.7265625
1628783203.8685746,1048246,35494.1171875
1628783267.8838835,1059645,57621.90234375
1628783335.0169883,1071675,33066.640625
1628783396.6915662,1082648,87377.96875
1628783461.6039793,1094138,11677.453125
1628783528.4858222,1106089,34647.1640625
1628783598.7168436,1118589,37011.81640625
1628783666.5935917,1130597,36435.40625
1628783734.5555074,1142689,30683.80078125
1628783797.6405106,1153841,47563.98046875
1628783859.3640192,1164750,44384.61328125
1628783925.5219283,1176502,63035.48828125
1628783988.9095144,1187790,44227.9296875
1628784054.289388,1199104,49110.24609375
1628784107.5987341,1208847,37157.81640625
1628784168.9912007,1219401,28809.234375
1628784225.812152,1229458,22512.56640625
1628784286.6241639,1240653,41472.703125
1628784345.188438,1251042,29081.939453125
1628784407.9455905,1262123,32302.126953125
1628784472.495465,1273368,22643.169921875
1628784536.1866016,1284892,26395.076171875
1628784599.4731674,1296103,36420.23828125
1628784656.7423246,1305814,38475.46484375
1628784713.0176675,1316189,23887.904296875
1628784772.4313512,1326519,39993.32421875
1628784838.5791068,1338442,25901.28515625
1628784895.3124352,1348581,31220.41796875
1628784951.346367,1358578,12772.7919921875
1628785009.20403,1368822,33603.01171875
1628785067.3529797,1379137,23394.388671875
1628785121.7284155,1388749,27899.26171875
1628785186.791437,1400319,27398.27734375
1628785253.778341,1412350,33877.86328125
1628785310.2962904,1422440,7885.98291015625
1628785371.9213848,1433538,30293.15625
1628785438.8398654,1445510,39401.65625
1628785509.1456318,1457545,35049.5390625
1628785566.548835,1467875,24923.333984375
1628785634.4639935,1480375,24071.490234375
1628785701.8545473,1492410,28167.953125
1628785769.833534,1504424,20709.84375
1628785833.3118854,1515669,25733.669921875
1628785898.396195,1527195,11557.029296875
1628785965.9674528,1539131,31965.076171875
1628786025.6861928,1549695,17188.673828125
1628786089.4308622,1560976,24728.2265625
1628786132.122761,1568130,20005.6640625
1628786177.622154,1576599,39356.6328125
1628786236.319912,1587006,21938.125
1628786306.2807148,1599431,23179.123046875
1628786366.071146,1610063,27700.3984375
1628786421.8201888,1619942,32916.9453125
1628786485.6238372,1631416,25223.7109375
1628786544.37928,1641803,30293.689453125
1628786604.9682455,1652495,29438.984375
1628786668.7571657,1663907,39233.92578125
1628786734.2520688,1675381,29376.33203125
1628786797.7300248,1686717,22583.220703125
1628786863.0881126,1698284,17475.935546875
1628786928.4549453,1709872,34687.87109375
1628786994.5374365,1721692,30739.71875
1628787062.2604382,1733703,17722.896484375
1628787123.8806577,1744663,23155.189453125
1628787189.1482387,1756337,33604.55859375
1628787245.0081918,1766252,7352.95654296875
1628787305.348901,1776964,20390.7109375
1628787368.0342891,1788114,27008.8828125
1628787430.1560915,1799161,24135.869140625
1628787489.3435009,1809667,21349.93359375
1628787553.2620318,1821013,6280.11083984375
1628787620.9630907,1833039,20006.955078125
1628787688.6488392,1844602,23221.861328125
1628787754.1177688,1856376,28404.65625
1628787817.6090884,1867636,26746.310546875
1628787882.348215,1879489,9280.515625
1628787946.085702,1890844,14663.2958984375
1628788009.947802,1902171,21750.75
1628788072.9787679,1913380,31742.26953125
1628788143.6447582,1925880,20463.6796875
1628788214.438842,1938380,26166.208984375
1628788271.6414692,1948375,16840.44140625
1628788342.4114692,1960875,17293.244140625
1628788408.9656374,1972599,22678.193359375
1628788471.5367432,1983414,24081.359375
1628788534.3239126,1994717,29690.275390625
1628788598.5795135,2006007,31346.896484375
1628832791.7904818,2018289,37718.27734375
1628832854.832163,2029148,25972.353515625
1628832924.4884057,2040467,25020.783203125
1628832990.1677296,2051959,24759.927734375
1628833055.0497909,2063257,26998.44140625
1628833116.5588152,2073318,34607.28515625
1628833180.8030546,2085164,26593.29296875
1628833243.6561291,2095413,21072.30859375
1628833305.5110235,2106228,30537.677734375
1628833365.2744415,2116673,29181.3203125
1628833436.453166,2128703,26666.212890625
1628833504.4405806,2140352,24469.501953125
1628833570.0036137,2151408,27091.962890625
1628833641.262017,2163741,24512.2421875
1628833706.7639797,2174648,33070.23046875
1628833781.6417716,2187148,15539.23828125
1628833853.56342,2199129,11372.27734375
1628833923.4978,2211156,23695.404296875
1628833990.4501057,2222407,15495.0546875
1628834054.7613792,2233753,37597.75390625
1628834125.7488708,2246253,20431.060546875
1628834192.4103599,2257200,26007.5703125
1628834253.8426623,2268146,28754.61328125
1628834326.6963758,2279668,18805.69921875
1628834397.88202,2291526,21070.63671875
1628834468.4453616,2303299,21332.1484375
1628834526.4989264,2313423,24333.232421875
