Wall time,Step,Value
1628686804.9492838,504967,47999.25
1628686851.27881,515146,38070.08203125
1628686899.9166548,525829,44585.75
1628686944.0568569,535534,18369.427734375
1628686992.692611,546151,18350.58984375
1628687039.6347697,555415,110289.3671875
1628687088.5312328,566052,37217.9296875
1628687131.0232666,575276,45149.29296875
1628687178.7611847,585493,42059.21484375
1628687229.9258354,596670,40810.6875
1628687274.4203968,606869,37806.58984375
1628687326.9306042,618452,27665.46875
1628687375.294394,628567,37827.88671875
1628687420.7958155,638735,27975.39453125
1628687469.0278971,649314,35774.94921875
1628687513.4061155,659028,37632.84765625
1628687557.155871,668312,37710.80078125
1628687605.486413,678944,50250.0390625
1628687658.2709908,690550,24971.171875
1628687991.6883798,710549,44243.16796875
1628688045.2719283,721964,39574.5390625
1628688095.9055011,732512,27804.466796875
1628688142.68849,742477,39224.265625
1628688193.676446,753655,35646.828125
1628688246.4210193,763818,34280.09765625
1628688290.5300548,773208,43270.4140625
1628688343.4635801,783895,29745.58984375
1628688392.9209008,793225,39030.9453125
1628688447.1096785,804295,38680.74609375
1628688494.9942825,813586,26228.578125
1628688548.9510202,824666,20426.943359375
1628688606.3340137,836241,18885.220703125
1628688657.9537058,846842,20272.6640625
1628688715.0422564,858433,63597.6953125
1628688766.9754095,869010,17239.357421875
1628688822.5004716,880088,28609.275390625
1628688882.4279351,892115,12118.29296875
1628688944.26121,904139,19117.9609375
1628688997.901026,915262,27128.638671875
1628689052.6644125,925886,6045.32275390625
1628689106.478079,936460,20465.435546875
1628689156.5756683,946336,22525.42578125
1628689211.4501452,957427,21637.5703125
1628689265.294942,968189,19972.546875
1628689329.0200963,980686,25988.376953125
1628689391.0754921,992723,12321.0068359375
1628689453.2895272,1005217,22575.5625
1628689513.1245348,1017245,30713.171875
1628689579.3977613,1029745,17579.388671875
1628689639.852577,1042118,12893.041015625
1628689695.3610985,1053043,30338.841796875
1628689758.6809359,1065116,29148.59765625
1628689814.3537493,1076586,20543.154296875
1628689877.6886616,1089086,21977.611328125
1628689940.4139369,1101399,12411.916015625
1628689995.0865107,1112945,24303.6328125
1628690051.6016831,1124036,24709.966796875
1628690114.8391802,1136536,16772.98828125
1628690170.6082392,1148089,25885.125
1628690222.6324093,1158586,22723.23828125
1628690270.5332165,1168526,11709.60546875
1628690331.4434495,1180480,20228.251953125
1628690387.4681342,1192084,23383.642578125
1628690520.3976116,1204271,25017.654296875
1628690576.539997,1215953,18228.44140625
1628690624.7271903,1225903,2831.438232421875
1628690679.3054416,1237178,17626.5859375
1628690734.7788217,1247910,33158.29296875
1628690787.3466613,1258357,21292.619140625
1628690852.0892944,1269174,25928.818359375
1628690913.674179,1280974,36417.96484375
1628690972.7570052,1292286,11679.5166015625
1628691032.5847235,1304275,8988.2900390625
1628691089.7532933,1316118,18655.84375
1628691144.8906436,1327631,1617.3853759765625
1628691199.0087943,1338777,40284.82421875
1628691264.8292494,1350183,26876.40625
1628691322.0758517,1360218,25647.421875
1628691385.246269,1371888,18602.76171875
1628691452.7854047,1384113,18737.134765625
1628691520.557431,1395740,17623.193359375
1628691659.5546274,1405252,32305.16796875
1628691719.1416347,1416917,27102.861328125
1628691773.8592997,1427967,29034.369140625
1628691831.7157483,1439231,25642.2421875
1628691888.3341732,1449711,20580.171875
1628691946.282587,1461302,23381.544921875
1628691998.9970694,1472324,37415.2578125
1628692061.4424138,1484331,29101.279296875
1628692123.4495022,1496169,24412.736328125
1628692175.3382173,1506223,18167.373046875
1628692227.3539972,1516898,22761.009765625
1628692285.2067852,1528903,28037.427734375
1628692340.1982083,1539741,26951.17578125
1628692390.903009,1550284,27364.505859375
1628692449.145789,1561796,23558.193359375
1628692496.3155756,1571021,47389.43359375
1628692548.626277,1581725,20501.91796875
1628692609.0530393,1593478,27390.25
1628692736.0943656,1605176,39608.1640625
1628692799.779645,1617193,22526.529296875
1628692864.263283,1629693,39084.6015625
1628692925.3079305,1641696,46716.21484375
1628692980.9795341,1652742,55697.796875
1628693033.014232,1663368,63041.4296875
1628693091.0332181,1675020,34889.90625
1628693143.7116992,1686286,37858.23828125
1628693199.150753,1698323,31686.291015625
1628693252.1105716,1709474,92768.375
1628693307.9337726,1721363,32784.76953125
1628693361.7237194,1732432,38282.41796875
1628693413.4677455,1743091,26533.09765625
1628693470.4466755,1754672,54051.19140625
1628693530.6556048,1766704,50660.6328125
1628693599.9867043,1779204,38360.515625
1628693654.7640364,1790737,35364.14453125
1628693703.722516,1801596,54858.34765625
1628711784.075945,1824302,40483.5859375
1628711840.4002275,1835118,30192.990234375
1628711899.6319902,1847198,25077.728515625
1628711959.2520027,1858872,29980.32421875
1628712366.518057,1870988,12788.2626953125
1628712427.70292,1882892,26380.119140625
1628746298.1466079,1894906,37398.609375
1628746537.9652839,1906641,29674.630859375
1628746591.1699653,1918242,33601.1171875
1628746646.2724352,1930263,31155.48828125
1628746708.0192153,1942522,33824.27734375
1628746762.3137426,1954080,35436.87890625
1628746818.127058,1965603,4615.93896484375
1628746871.3928049,1977142,225838.125
1628746928.0150747,1989383,13038.94921875
1628746983.1070654,2001209,56444.03515625
1628747031.62321,2011489,49599.67578125
1628747086.5794592,2023107,41360.375
1628747145.751668,2035607,42798.68359375
1628747205.0013187,2048107,50319.4140625
1628747259.6977549,2059707,1656952.125
1628747318.228273,2071615,26752.244140625
1628747372.798295,2082745,54825.17578125
1628747429.957867,2094245,35164.36328125
1628747515.4737663,2106214,46319.1640625
1628747573.810052,2118500,41226.54296875
1628747630.3776605,2129938,119582.8046875
1628747684.7496407,2141714,31591.455078125
1628747742.1101189,2153132,34129.01953125
1628747794.697106,2163669,71790.6328125
1628747842.909875,2174301,47224.89453125
1628747890.2061813,2184666,53221.88671875
1628747946.9893374,2195879,21830.109375
1628748001.8312783,2207912,31258.75
1628748060.2540264,2220387,36204.93359375
1628748114.7000487,2232159,34337.33203125
1628748166.1757343,2243221,48639.74609375
1628748219.23198,2254930,35922.46484375
1628748268.8010762,2265868,27548.880859375
1628748320.8290396,2276488,37724.671875
1628748374.147928,2287887,46643.546875
1628748430.7815804,2299920,42448.4375
1628748539.9488702,2312420,41796.0703125
1628748595.1763003,2323938,35425.57421875
1628748654.7078364,2335995,59311.2890625
1628748709.9530635,2346974,27376.767578125
1628748765.7593338,2357961,25910.8125
1628748822.8226538,2369868,35967.15234375
1628748883.6157246,2381531,25441.8828125
1628748946.4697838,2393221,22726.37109375
1628749004.1435852,2404777,22879.68359375
1628749061.9056425,2416342,22818.685546875
1628749115.3622427,2427105,48053.55859375
1628749170.9891806,2438143,30238.583984375
1628749220.544655,2448183,23715.59375
1628749283.708815,2460419,49990.4296875
1628749340.9296212,2471867,59471.9375
1628749395.9586816,2483107,43459.21875
1628749454.3523204,2494982,21205.9921875
1628749507.0598974,2505862,23986.626953125
1628749569.0004168,2518362,32861.7265625
1628749626.8437297,2530386,26978.15625
1628749683.920941,2542393,33162.4765625
1628749738.46056,2553339,2123.378662109375
1628749794.5476842,2565559,38757.1328125
1628749844.9375694,2576449,32298.01953125
1628749891.9639947,2586624,21193.42578125
